,ORIGIN,DEST,COUNT
0,05A,ARC,1
1,05A,CXF,2
2,05A,FAI,13
3,05A,WCR,1
4,09A,ADQ,1
5,1G4,1G4,9
6,1G4,BLD,9
7,1G4,DQS,6
8,1G4,GCN,5
9,1G4,KNB,4
10,1G4,XXO,1
11,7AK,AKN,1
12,7AK,ANC,1
13,7AK,DUT,11
14,7AK,KQA,1
15,7AK,SNP,1
16,A01,FAI,1
17,A03,HOM,5
18,A1K,ANC,1
19,A1K,SCC,1
20,A1L,PIT,1
21,A20,ANC,5
22,A20,SCC,7
23,A26,BTT,1
24,A27,FAI,2
25,A29,A43,6
26,A29,ADQ,1
27,A2L,MQY,1
28,A2L,OPF,1
29,A43,A03,1
30,A43,A29,6
31,A43,A43,10
32,A43,A50,1
33,A43,A65,1
34,A43,A87,1
35,A43,AKK,1
36,A43,ALZ,13
37,A43,BFB,3
38,A43,DGB,4
39,A43,EHR,3
40,A43,JLA,1
41,A43,KKB,9
42,A43,KKL,1
43,A43,KLN,3
44,A43,KMY,5
45,A43,KOY,5
46,A43,KPR,9
47,A43,KPY,11
48,A43,KWP,10
49,A43,KYK,1
50,A43,KZB,10
53,A43,SYB,13
54,A43,UGI,12
55,A50,A43,2
56,A52,HOM,3
57,A63,FAI,3
58,A65,A43,1
59,A6K,FAI,2
60,A72,HOM,5
61,A87,A43,1
62,ABE,ABE,1
63,ABE,ACY,1
64,ABE,ATL,23
65,ABE,AVP,9
66,ABE,BNA,1
67,ABE,BUF,1
68,ABE,BWI,2
69,ABE,CLT,9
70,ABE,CMH,1
71,ABE,CVG,13
72,ABE,DAL,1
73,ABE,DAY,1
74,ABE,DEN,1
75,ABE,DFW,10
76,ABE,DTW,9
77,ABE,EWR,14
78,ABE,FID,1
79,ABE,FLL,8
80,ABE,FNT,1
81,ABE,HPN,1
82,ABE,IFP,2
83,ABE,IND,9
84,ABE,JAX,1
85,ABE,LAX,1
86,ABE,LGA,1
87,ABE,MDT,1
88,ABE,MEM,11
89,ABE,MIA,1
90,ABE,MYR,6
91,ABE,ONT,10
92,ABE,ORD,20
93,ABE,PDX,2
94,ABE,PGD,9
95,ABE,PHL,12
96,ABE,PIE,10
97,ABE,PIT,1
98,ABE,POP,1
99,ABE,RDU,1
100,ABE,RFD,5
101,ABE,SAN,2
102,ABE,SDF,3
103,ABE,SEA,11
104,ABE,SFB,9
105,ABE,SWF,2
106,ABE,SYR,1
107,ABE,TEB,1
108,ABE,YYZ,1
109,ABI,AFW,1
